IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
1,22753,0,0,NA,NA,NA,NA,NA,PG,Arts,Lucknow,2020,,,,,,,Guwahati,Pune,0,N,NA,0,0,0,0,384551
2,51087,23,14,HR,Consultant,Analytics,H,HR,Doctorate,Chemistry,Surat,1988,Others,Surat,1990,Chemistry,Mangalore,1997,Bangalore,Nagpur,2702664,Y,Key_Performer,2,4,0,0,3783729
3,38413,21,12,Top Management,Consultant,Training,J,,Doctorate,Zoology,Jaipur,1990,Zoology,Jaipur,1992,Zoology,Lucknow,1999,Ahmedabad,Jaipur,2236661,Y,Key_Performer,5,3,0,0,3131325
4,11501,15,8,Banking,Financial Analyst,Aviation,F,HR,Doctorate,Others,Bangalore,1997,Zoology,Bangalore,1999,Chemistry,Guwahati,2005,Kanpur,Kolkata,2100510,N,C,5,3,0,0,2608833
5,58941,10,5,Sales,Project Manager,Insurance,E,Medical Officer,Grad,Zoology,Mumbai,2004,Zoology,Mumbai,2006,Zoology,Bangalore,2010,Ahmedabad,Ahmedabad,1931644,N,C,2,3,0,0,2221390
6,30564,16,3,Top Management,Area Sales Manager,Retail,G,Director,Doctorate,Others,Bangalore,1998,Zoology,Bangalore,2000,Others,Bhubaneswar,2004,Pune,Bhubaneswar,3511167,Y,C,5,4,0,0,4522383
7,27267,1,1,Engineering,Team Lead,FMCG,L,Marketing Manager,Grad,Chemistry,Delhi,2011,Chemistry,Delhi,2013,Chemistry,Mangalore,2019,Delhi,Pune,492917,Y,B,3,3,0,0,630933
8,36521,19,11,Others,Analyst,Others,E,Manager,PG,Sociology,Delhi,2001,,,,,,,Surat,Bangalore,2693459,N,C,6,1,1,0,3221376
9,11616,8,7,Analytics/BI,Others,Telecom,L,Marketing Manager,Doctorate,Psychology,Mumbai,2003,Psychology,Mumbai,2005,Psychology,Pune,2012,Nagpur,Guwahati,1630225,N,A,6,6,0,0,2288835
10,43886,15,15,Analytics/BI,CEO,Telecom,M,Product Manager,Doctorate,Chemistry,Delhi,1998,Chemistry,Delhi,2000,Chemistry,Jaipur,2005,Bangalore,Bhubaneswar,1761797,Y,A,5,6,0,1,2466515
